title,link,rating,rating_count,in_stock,in_store,view_count,transaction_record,address
8891嚴選豐隆汽車SUM模範店,http://www.8891.com.tw/findBuz-info-201.html,5.0,2.0,40,35.0,197802,1775,新北市新莊區萬壽路一段191之1號(1店);新北市樹林區俊興街300號(2店)
博通汽車,http://www.8891.com.tw/findBuz-info-5507.html,,,43,37.0,77860,775,台中市西屯區中清路三段503號
鉅東汽車,http://www.8891.com.tw/findBuz-info-2687.html,,,49,23.0,123437,1141,高雄市大寮區大明街220巷1-1號(88橋下與大明街220 巷交叉口)
豐駿三峽總店精選好車,http://www.8891.com.tw/findBuz-info-342.html,,,86,,188019,454,新北市三峽區介壽路一段362號
8891嚴選福利汽車連鎖總部,http://flcar.8891.com.tw/index.html,5.0,6017.0,31,30.0,2478317,7527,台北市大安區建國南路二段320號
8891嚴選推薦桃園-首福汽車,http://sofu.8891.com.tw/index.html,5.0,1627.0,45,45.0,2189351,4625,桃園市中壢區新中北路2段68號
元禾國際車業一鍵就到,http://cacheap.8891.com.tw/index.html,,,244,226.0,483748,3086,新北市樹林區中正路421號(元禾汽車)
愛客汽車-台北旗艦店,http://akcar.8891.com.tw/index.html,,,11,6.0,122,,台北市內湖區瑞光路115號
元禾國際汽車 陳店長,http://faru1997.8891.com.tw/index.html,,,205,173.0,110118,1850,新北市樹林區中正路421號
元鑫汽車,http://leo9981.8891.com.tw/index.html,,,28,10.0,2265,5,新北市三重區集賢路170號
小白圓夢車庫,http://pai0701.8891.com.tw/index.html,,,15,,897,,新北市八里區
BMW原廠認證胡凱茵,http://bmwhki.8891.com.tw/index.html,,,21,8.0,496,,桃園市平鎮區
SUM祺悅~家祺車業,http://kikicar.8891.com.tw/index.html,5.0,1.0,28,27.0,136367,65,新北市五股區
倍斯車庫,http://bsetga.8891.com.tw/index.html,5.0,12.0,22,14.0,4143,101,高雄市仁武區高楠公路89號
BMW原廠認證金士弘,http://jincar.8891.com.tw/index.html,,,27,19.0,2285,15,桃園市桃園區文中路658號
三鑫汽車－高雄旗艦店,http://sansin88.8891.com.tw/index.html,5.0,1.0,104,45.0,220644,216,高雄市仁武區鳳仁路95-33號
BMW桃園大桐彭立緯,http://alexpeng.8891.com.tw/index.html,,,14,4.0,1202,56,桃園市平鎮區延平路三段586號
8891嚴選福利汽車台中旗艦店,http://www.8891.com.tw/findBuz-info-668.html,5.0,737.0,23,20.0,198651,978,台中市烏日區新興路199號(烏日消防局斜對面)
8891嚴選HOT達興汽車,http://www.8891.com.tw/findBuz-info-10071.html,5.0,139.0,10,10.0,13771,396,桃園市八德區東勇街118號
8891嚴選SUM金鑽金豪華汽車,http://www.8891.com.tw/findBuz-info-460.html,5.0,2.0,70,70.0,197064,7,新北市三重區重陽路三段2號
8891嚴選推薦高雄君豪汽車,http://www.8891.com.tw/findBuz-info-238.html,5.0,1934.0,66,34.0,442613,4583,高雄市左營區文自路606號【大中二路文自路口】
8891嚴選駿銘汽車,http://www.8891.com.tw/findBuz-info-9050.html,5.0,20.0,8,8.0,9371,110,新北市樹林區中華路190之7號
8891嚴選【SUM統聯車業】,http://www.8891.com.tw/findBuz-info-5665.html,5.0,42.0,22,22.0,65793,750,台中市大雅區中清路四段700號
8891嚴選豐御車業,http://www.8891.com.tw/findBuz-info-9010.html,5.0,1.0,12,11.0,13691,422,新北市五股區成泰路一段200號
8891嚴選TACA 鎵町車業,http://www.8891.com.tw/findBuz-info-7360.html,5.0,110.0,19,19.0,46784,362,新北市土城區學府路二段213-1號 (Google導航搜尋 鎵町車業)
8891嚴選永立汽車【白金認證】,http://www.8891.com.tw/findBuz-info-6969.html,5.0,424.0,19,19.0,46132,452,台中市西屯區文心路三段169號1樓
8891嚴選快立汽車SUM模範店,http://www.8891.com.tw/findBuz-info-9704.html,5.0,111.0,45,43.0,87329,1566,基隆市安樂區基金一路119號之10
8891嚴選傑霖汽車,http://www.8891.com.tw/findBuz-info-3399.html,5.0,3.0,13,13.0,52518,266,高雄市仁武區鳳仁路5號之12
8891嚴選瑋盟汽車,http://www.8891.com.tw/findBuz-info-2874.html,5.0,12.0,6,6.0,968467,435,桃園市桃園區春日路1363號
